Time (CDT)	Latitude	Longitude	Course	kts	feet	Rate	Reporting Facility
Fri 18:26:00    Departure (KJEF) @ Friday 18:26:00 CDT		 FlightAware
Fri 18:26:00	38.5937	-92.1322	↖ 327°	92	1,531	 Level	 FlightAware ADS-B (KCOU)
Fri 18:27:14	38.6154	-92.1660	← 308°	95	1,406	-207 Descending	 FlightAware ADS-B (KJEF)
Fri 18:27:34	38.6146	-92.1745	↙ 219°	80	1,206	-385 Descending	 FlightAware ADS-B (KJEF)
Fri 18:27:53	38.6098	-92.1796	↙ 213°	69	1,156	-338 Descending	 FlightAware ADS-B (KJEF)
Fri 18:28:14	38.6039	-92.1805	↘ 125°	72	981	-462 Descending	 FlightAware ADS-B (KJEF)
Fri 18:28:32	38.6009	-92.1743	↘ 123°	63	856	-529 Descending	 FlightAware ADS-B (KJEF)
Fri 18:28:48	38.5985	-92.1693	↘ 123°	62	681	221 Climbing	 FlightAware ADS-B (KJEF)
Fri 18:31:35	38.6033	-92.1479	← 306°	106	1,531	251 Climbing	 FlightAware ADS-B (KJEF)
Fri 18:31:53	38.6089	-92.1580	← 309°	102	1,456	-357 Descending	 FlightAware ADS-B (KJEF)
Fri 18:32:17	38.6154	-92.1683	← 306°	95	1,281	-607 Descending	 FlightAware ADS-B (KJEF)
Fri 18:32:35	38.6144	-92.1763	↙ 217°	82	1,031	-618 Descending	 FlightAware ADS-B (KJEF)
Fri 18:32:51	38.6098	-92.1804	↙ 212°	73	931	-409 Descending	 FlightAware ADS-B (KJEF)
Fri 18:33:08	38.6049	-92.1815	↘ 147°	73	806	-203 Descending	 FlightAware ADS-B (KJEF)
Fri 18:33:28	38.6009	-92.1743	↘ 122°	66	806	-122 Descending	 FlightAware ADS-B (KJEF)
Fri 18:33:45	38.5982	-92.1689	↘ 122°	66	731	207 Climbing	 FlightAware ADS-B (KJEF)
Fri 18:35:31	38.5862	-92.1319	↗ 31°	99	1,231	293 Climbing	 Surface and Near-Surface
Fri 18:36:34	38.6065	-92.1524	← 307°	107	1,556	183 Climbing	 FlightAware ADS-B (KVER)
Fri 18:36:53	38.6121	-92.1617	← 309°	97	1,481	-292 Descending	 FlightAware ADS-B (KJEF)
Fri 18:37:10	38.6165	-92.1689	← 307°	91	1,381	-471 Descending	 FlightAware ADS-B (KVER)
Fri 18:37:28	38.6147	-92.1763	↙ 213°	80	1,206	-353 Descending	 FlightAware ADS-B (KJEF)
Fri 18:37:44	38.6105	-92.1799	↙ 213°	69	1,181	-364 Descending	 FlightAware ADS-B (KJEF)
Fri 18:38:01	38.6056	-92.1823	↓ 165°	67	1,006	-558 Descending	 FlightAware ADS-B (KJEF)
Fri 18:38:27	38.6007	-92.1737	↘ 124°	66	781	189 Climbing	 FlightAware ADS-B (KJEF)
Fri 18:40:48	38.5927	-92.1287	↖ 333°	91	1,531	261 Climbing	 FlightAware ADS-B (KCOU)
Fri 18:41:25	38.6029	-92.1456	← 305°	104	1,556	28 Climbing	 FlightAware ADS-B (KJEF)
Fri 18:41:42	38.6078	-92.1544	← 305°	104	1,556	 Level	 FlightAware ADS-B (KCOU)
Fri 18:41:58	38.6122	-92.1619	← 309°	85	1,556	-188 Descending	 FlightAware ADS-B (KJEF)
Fri 18:42:14	38.6158	-92.1683	← 299°	83	1,456	-397 Descending	 FlightAware ADS-B (KVER)
Fri 18:42:32	38.6130	-92.1750	↙ 222°	70	1,331	-405 Descending	 FlightAware ADS-B (KVER)
Fri 18:42:51	38.6083	-92.1800	↙ 217°	66	1,206	-568 Descending	 FlightAware ADS-B (KJEF)
Fri 18:43:09	38.6035	-92.1790	↘ 129°	79	981	-529 Descending	 FlightAware ADS-B (KJEF)
Fri 18:43:25	38.6007	-92.1734	↘ 122°	64	906	114 Climbing	 FlightAware ADS-B (KJEF)
Fri 18:45:21	38.5850	-92.1323	↗ 33°	98	1,231	203 Climbing	 Surface and Near-Surface
